Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Growth
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,2019-01-05,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1,522.83
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.22,340.53,2019-03-03,1:23:00 PM,Credit card,324.31,4.761904762,16.2155,7.4,324.30999999999995
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.29,489.05,2019-01-27,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4,465.76
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.21,634.38,2019-02-08,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3,604.17
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.89,627.62,2019-03-25,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1,597.73
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,433.69,2019-02-25,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8,413.04
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8.0,735.6
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.23,172.75,2019-02-20,1:27:00 PM,Credit card,164.52,4.761904762,8.226,5.9,164.52
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.1,107.14,2019-03-09,5:03:00 PM,Cash,102.04,4.761904762,5.102,6.8,102.04
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.74,246.49,2019-02-12,10:25:00 AM,Ewallet,234.75,4.761904762,11.7375,7.1,234.75
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.6,453.5,2019-02-07,4:48:00 PM,Ewallet,431.9,4.761904762,21.595,8.2,431.9
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7,713.8
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.12,590.44,2019-01-15,4:19:00 PM,Cash,562.32,4.761904762,28.116,4.5,562.32
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.13,506.64,2019-03-11,11:03:00 AM,Credit card,482.51,4.761904762,24.1255,4.6,482.51
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.78,457.44,2019-01-01,10:39:00 AM,Credit card,435.66,4.761904762,21.783,6.9,435.65999999999997
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2,172.21,2019-01-21,6:00:00 PM,Credit card,164.01,4.761904762,8.2005,8.6,164.01000000000002
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00 AM,Ewallet,430.2,4.761904762,21.51,4.8,430.2
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,13.2,277.14,2019-03-05,10:40:00 AM,Ewallet,263.94,4.761904762,13.197,5.1,263.94
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00 AM,Ewallet,172.8,4.761904762,8.64,9.9,172.8
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.29,279.18,2019-03-02,5:36:00 PM,Ewallet,265.89,4.761904762,13.2945,6.0,265.89
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,21.04,441.76,2019-03-22,7:20:00 PM,Credit card,420.72,4.761904762,21.036,8.5,420.71999999999997
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,8.77,184.11,2019-03-10,12:17:00 PM,Credit card,175.34,4.761904762,8.767,7.7,175.34
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,7:48:00 PM,Cash,441.8,4.761904762,22.09,9.6,441.8
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,11.2,235.21,2019-03-15,3:36:00 PM,Cash,224.01,4.761904762,11.2005,7.4,224.01000000000002
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,23.53,494.18,2019-02-25,7:39:00 PM,Credit card,470.65,4.761904762,23.5325,4.8,470.65
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.13,737.76,2019-01-28,12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5,702.63
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.51,703.75,2019-01-10,2:49:00 PM,Cash,670.24,4.761904762,33.512,5.1,670.24
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,9.66,202.82,2019-03-15,10:12:00 AM,Credit card,193.16,4.761904762,9.658,5.1,193.16
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.88,417.56,2019-02-06,10:42:00 AM,Ewallet,397.68,4.761904762,19.884,7.5,397.68
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,15.66,328.76,2019-03-10,7:15:00 PM,Ewallet,313.1,4.761904762,15.655,7.0,313.09999999999997
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.4,575.32,2019-01-15,5:17:00 PM,Ewallet,547.92,4.761904762,27.396,4.7,547.9200000000001
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,21.97,461.33,2019-03-23,1:24:00 PM,Ewallet,439.36,4.761904762,21.968,7.6,439.36
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,12.05,253.01,2019-03-03,1:01:00 PM,Cash,240.96,4.761904762,12.048,7.7,240.95999999999998
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,5.61,117.83,2019-02-02,10:11:00 AM,Cash,112.22,4.761904762,5.611,6.3,112.22
